patent no;patent title;chemical type 1
US6007856;OIL-IN-WATER DISPERSIONS OF BETA -CAROTENE AND OTHER CAROTENOIDS STABLE AGAINST OXIDATION PREPARED FROM WATER-DISPERSIBLE BEADLETS HAVING HIGH CONCENTRATIONS OF CAROTENOID;Ascorbic acid
US10016363;PRE-SPRAY EMULSIONS AND POWDERS CONTAINING NON-POLAR COMPOUNDS;Ascorbic acid
US3495988;ENCAPSULATION OF AROMAS AND FLAVORS;Ascorbic acid
US3565559;PROCESS FOR MAKING MICROCAPSULES;Ascorbic acid
US2016022733;NOVEL FORMULA OF IRON BASED NANOCOMPOSITES FOR RAPID AND EFFICIENT TREATMENT OF IRON DEFICIENCY ANEMIA;Ascorbic acid
US2005271754;Composition for prevention or treatment of an alcohol hangover;Ascorbic acid
US3160564;MULTI-VITAMIN COMPOSITION CONTAINING PANTOTHENAMIDE;Ascorbic acid
US3860733;MICROENCAPSULATED PRODUCT;Niacin
US4612194;Anti-rheumatic agents and their use;Niacin
US2002058088;COLOR STABLE IRON FORTIFIED COMPOSITIONS;Niacin
US2008161318;NOVEL COMPOSITIONS AND USES THEREOF;Niacin
US2006115555;NUTRITIONAL SUPPLEMENTS CONTAINING XANTHONE EXTRACTS;Niacin
US6468568;OLIGOSACCHARIDE ENCAPSULATED MINERAL AND VITAMIN INGREDIENTS;Niacin
US2004214804;Combination of an aldosterone receptor antagonist and an anti-obesity agent;Niacin
US5153001;AGENT FOR TREATING HEART DISEASE;Niacin
US6436453;PRODUCTION OF OIL ENCAPSULATED MINERALS AND VITAMINS IN A GLASSY MATRIX;Niacin
US2016038530;NUTRITIONAL SUPPLEMENT TO COMPLEMENT CANCER THERAPY;Niacin
US2005271705;RETINOID-CONTAINING SUSTAINED RELEASE INTRAOCULAR DRUG DELIVERY SYSTEM AND RELATED METHODS;Niacin
US2003170324;25-HYDROXY VITAMIN D3 COMPOSITIONS;Niacin
US5770215;Multivitamin/vascular occlusion inhibiting composition;Niacin
US2519487;MULTIVITAMIN PREPARATION;Niacin
US2015164816;FORTIFIED MICRONUTRIENT SALT FORMULATIONS;Niacin
US2010203106;METHOD FOR ENCAPSULATING AMINO ACIDS, VITAMINS AND MEDICATIONS AND METHOD FOR INCREASING RUMEN BYPASS OF AMINO ACIDS, VITAMINS AND MEDICATIONS;Niacin
US6020333;Compositions containing in particular, riboflavin, for the local prevention of diseases of the genital and rectal mucus membranes;Niacin
US3833739;VITAMIN ENRICHED POTATO FLAKES;Niacin
US2011250298;COMPOSITION TO HELP PROTECT A USER AGAINST LIVER DAMAGE FROM ALCOHOL CONSUMPTION;Niacin
US2016205969;SOLID DIETARY COMPOSITIONS FOR RUMINANTS AND METHODS OF MAKING AND USING THE SAME;Niacin
US2011008308;Composition for hair, skin, nails;Niacin
US5002779;DRY STABLE CHOCOLATE BEVERAGE CONTAINING IRON AND VITAMIN C;Niacin
US8613961;DERMATOLOGICAL CREAM WITH NATURAL INGREDIENTS BASE;Niacin
US2005202104;METHOD OF ENHANCEMENT OF COGNITIVE SKILLS;Niacin
US2007141096;ENCAPSULATION OF SENSITIVE LIQUID COMPONENTS INTO A MATRIX TO OBTAIN DISCRETE SHELF-STABLE PARTICLES;Niacin
US2016279058;PROTEIN-BASED GEL DELIVERY SYSTEM;Niacin
US5310555;ORAL NUTRITIONAL AND DIETARY COMPOSITION;Niacin
US5292534;Sustained release composition and method utilizing xanthan gum and an active ingredient;Niacin
US2018289625;CAPSULE WITH VOLUME-ADJUSTABLE INTERNAL DIAPHRAGM;Niacin
US3574826;HYDROPHILIC POLYMERS HAVING VITAMINS ABSORBED THEREIN;Niacin
US2017056463;COMPOSITIONS AND METHODS FOR TREATING DIABETES;Niacin
US4022883;COMPOSITION FOR ALLEVIATION OF UREMIC SYMPTOMS AND METHOD FOR ITS PREPARATION;Niacin
US2016022733;NOVEL FORMULA OF IRON BASED NANOCOMPOSITES FOR RAPID AND EFFICIENT TREATMENT OF IRON DEFICIENCY ANEMIA;Niacin
US5153005;COMPOSITION AND METHOD FOR PREVENTING FLUOROSIS;Niacin
US2002004069;Discoloration-resistant vitamin composition;Niacin
US2018193483;DRUG FORMULATION BASED ON PARTICULATES COMPRISING POLYSACCHARIDE-VITAMIN CONJUGATE;Niacin
US2006188549;ANIMAL FEED COMPOSITIONS CAPABLE OF REDUCING THE INCIDENCE OF FESCUE TOXICOSIS IN MAMMALS;Niacin
US2005048164;COATED CHEWING GUM COMPRISING AN ACTIVE SUBSTANCE HAVING SYSTEMIC ACTIVITY;Niacin
US2013101569;HAIR GROWTH STIMULANT;Niacin
US2002172721;VITAMIN FORMULATION FOR CARDIOVASCULAR HEALTH;Niacin
US2006228414;METHOD FOR THE PREPARATION OF CONTROLLED RELEASE FORMULATIONS;Niacin
US2014234406;NOVEL NANOPARTICULATE SUSPENSION FOR INCORPORATING FAT-SOLUBLE VITAMINS IN THE TREATMENT OF HAIR THINNING AND HAIR LOSS;Niacin
US5780039;ORALLY-INGESTIBLE NUTRITION COMPOSITIONS HAVING IMPROVED PALATABILITY;Niacin
US6174890;ANTI-STRESS, ANTI-IMPAIRMENT AND ANTI-AGING DRUG AND PROCESS FOR MANUFACTURING THEREOF;Niacin
US2014314884;HEALTH SUPPLEMENT USING GUARANA EXTRACT;Niacin
US2015164816;FORTIFIED MICRONUTRIENT SALT FORMULATIONS;Vitamin A
US2015296821;FERMENTED DAIRY PRODUCT COMPRISING MICROCAPSULES AND PROCESS FOR PREPARING THE SAME;Vitamin A
US4983403;GRANULES FOR FEEDING RUMINANTS WITH AN ENZYMATICALLY DEGRADABLE COATING;Vitamin A
US5532002;GELATIN PHARMACEUTICAL FORMULATIONS;Vitamin A
US2015224035;NANOPARTICLE BASED COSMETIC COMPOSITION;Vitamin A
US2017056339;FORMULATION OF FAT-SOLUBLE VITAMIN;Vitamin A
US2013095157;COSMETIC COMPOSITION CONTAINING RETINOL STABILIZED BY POROUS POLYMER BEADS AND NANOEMULSION;Vitamin A
US8613961;DERMATOLOGICAL CREAM WITH NATURAL INGREDIENTS BASE;Vitamin A
US6136859;Pharmaceutical formulation for treating liver disorders;Vitamin A
US3111708;CAPSULE MANUFACTURE;Vitamin A
US2650895;SPRAY DRIED VITAMIN A AND D EMULSION;Vitamin A
US2011280960;THICK PINE NEEDLE EXTRACT COMPOSITION FOR CAPSULATION;Vitamin A
US5002779;DRY STABLE CHOCOLATE BEVERAGE CONTAINING IRON AND VITAMIN C;Vitamin A
US2004023820;LIQUID SOAP WITH VITAMIN BEADS AND METHOD FOR MAKING SAME;Vitamin A
US2016279058;PROTEIN-BASED GEL DELIVERY SYSTEM;Vitamin A
US3160564;MULTI-VITAMIN COMPOSITION CONTAINING PANTOTHENAMIDE;Vitamin A
US2218592;VITAMIN PREPARATION AND METHOD OF MAKING SAME;Vitamin A
US2691619;FAT-SOLUBLE VITAMIN-CONTAINING PRODUCTS AND PROCESS THEREFOR;Vitamin A
US5126328;PROCESS FOR CROSSLINKING GELATIN;Vitamin A
US4350679;Soft capsule coated with a film of carnauba wax and process for the preparation of the same;Vitamin A
US5288550;PRODUCTION METHOD OF NON-FITTING TYPE CAPSULE AND NON-FITTING TYPE CAPSULE PRODUCED THEREBY;Vitamin A
US6989150;Cosmetic preparation of active substances with a synergistically increased radical protection factor;Vitamin A
US2014356424;COMPOSITION FOR TREATMENT OR REDUCTION OF SYMPTOMS RELATED TO PREMENSTRUAL SYNDROME (PMS), PREMENSTRUAL DISPHORIC DISORDER (PMDD), PREMENOPAUSE, MENOPAUSE OR FEMALE HORMONAL DISORDERS, IN A PHARMACEUTICAL COMPOSITION CONTAINING SAID FORM, AND PROCESS FOR PRODUCING SAID PHARMACEUTICAL FORM AND USE OF SAID COMPOSITION;Vitamin A
US2017056463;COMPOSITIONS AND METHODS FOR TREATING DIABETES;Vitamin A
US6596306;Drug delivery system:formulation for fat-soluble drugs;Vitamin A
US5972985;HISTIDINE CONTAINING NUTRICEUTICAL COMPOSITIONS;Vitamin A
US3137630;PROCESS FOR PREPARING A DRY, FINELY DIVIDED, GELATIN PARTICLE PRODUCT;Vitamin A
US2003170324;25-HYDROXY VITAMIN D3 COMPOSITIONS;Vitamin A
US3574826;HYDROPHILIC POLYMERS HAVING VITAMINS ABSORBED THEREIN;Vitamin A
US3767825;METHOD OF COATING FOOD PARTICLES WITH A BLEND OF VITAMINS A AND C;Vitamin A
US2643209;VITAMIN A ACETATE GELATIN BEADLETS;Vitamin A
US2018193483;DRUG FORMULATION BASED ON PARTICULATES COMPRISING POLYSACCHARIDE-VITAMIN CONJUGATE;Vitamin A
US5780039;ORALLY-INGESTIBLE NUTRITION COMPOSITIONS HAVING IMPROVED PALATABILITY;Vitamin A
US3143475;VITAMIN-CONTAINING GELATIN BEADLETS AND THE PROCESS OF PREPARING THEM;Vitamin A
US2018207277;STABLE FAT-SOLUBLE ACTIVE INGREDIENT COMPOSITION, MICROCAPSULE AND PROCESS OF PREPARATION AND USE THEREOF;Vitamin A
US5770215;Multivitamin/vascular occlusion inhibiting composition;Vitamin A
US5824323;Skin lotion composition and softgel filled therewith and methods for making and using same;Vitamin A
US10016363;PRE-SPRAY EMULSIONS AND POWDERS CONTAINING NON-POLAR COMPOUNDS;Vitamin A
US2005238675;WATER-SOLUBLE FORMULATIONS OF FAT SOLUBLE VITAMINS AND PHARMACEUTICAL AGENTS AND THEIR APPLICATIONS;Vitamin A
US2001009926;MESOZEAXANTHIN FORMULATIONS FOR TREATMENT OF RETINAL DISORDERS;Vitamin A
US2004191295;COMPOSITION AND METHOD FOR VIRAL INHIBITION;Vitamin A
US2006051425;METHOD OF MICROENCAPSULATION;Vitamin A
US2014121610;GARMENT AND METHOD USED TO PROVIDE HYDRATION AND ELASTICITY TO THE SKIN OF ABDOMEN AREA;Vitamin A
US10000447;COMPOUNDS FOR TARGETING DRUG DELIVERY AND ENHANCING SIRNA ACTIVITY;Vitamin A
US3069460;PROCESS FOR THE PRODUCTION OF ALPHA, BETA-UNSATURATED ACIDS OF THE VITAMIN A SERIES;Vitamin A
US4612194;Anti-rheumatic agents and their use;Vitamin A
US4389419;Vitamin encapsulation;Vitamin A
US5520991;Cosmetic preparations for revitalizing the skin;Vitamin A
US6086910;FOOD SUPPLEMENTS;Vitamin A
US2008089941;FUCOIDAN COMPOSITIONS AND METHODS;Vitamin A
US2018280333;FISH EGG EXTRACTS, OMEGA-3 LIPID-BASED COMPOSITIONS AND USES THEREOF;Vitamin A
US2014234406;NOVEL NANOPARTICULATE SUSPENSION FOR INCORPORATING FAT-SOLUBLE VITAMINS IN THE TREATMENT OF HAIR THINNING AND HAIR LOSS;Vitamin A
US4670247;PROCESS FOR PREPARING FAT-SOLUBLE VITAMIN ACTIVE BEADLETS;Vitamin A
US3521637;TAMPON OR SIMILAR SANITARY NAPKIN CONTAINING VITAMIN A;Vitamin A
US6468568;OLIGOSACCHARIDE ENCAPSULATED MINERAL AND VITAMIN INGREDIENTS;Vitamin A
US2002095000;TREATMENT OF DRY EYE SYNDROME;Vitamin A
US5128141;ASSOCIATION OF PHYSIOLOGICALLY DOSED VITAMIN A AND OF VARIOUS ACTIVE PRINCIPLES HAVING A THERAPEUTICAL ACTIVITY;Vitamin A
US3558323;VITAMIN-CONTAINING COMPOSITION IN BEADLET FORM;Vitamin A
US2005175653;COMPOSITION, PROCESS OF MAKING, USES THEREOF;Vitamin A
US2002172721;VITAMIN FORMULATION FOR CARDIOVASCULAR HEALTH;Vitamin A
US2004047826;FRAGRANCE FORMULATION CONTAINING PEARLESCENT SILICONE OIL BEADS;Vitamin A
US5310555;ORAL NUTRITIONAL AND DIETARY COMPOSITION;Vitamin A
US5270063;READY-TO-EAT CEREAL PRODUCTS ENRICHED WITH BETA-CAROTENE;Vitamin A
US2012015011;COSMETIC COMPOSITION COMPRISING DOUBLE-SHELL NANO-STRUCTURE;Vitamin A
US5180747;STABILIZED FAT-SOLUBLE VITAMIN COMPOSITIONS;Vitamin A
US5153001;AGENT FOR TREATING HEART DISEASE;Vitamin A
US2009074860;NUTRITIONAL BEVERAGE WITH SKIN IMPROVEMENT AIDS;Vitamin A
US3525582;SMOKING TOBACCO CHARGE INCORPORATING ENCAPSULATED VITAMIN A AND MODE OF INTRODUCTION;Vitamin A
US6090414;METHOD AND COMPOSITION TO REDUCE CANCER INCIDENCE;Vitamin A
US5788972;PRODUCT FOR TOPICAL APPLICATION CONTAINING A LIPASE AND AN ACTIVE INGREDIENT PRECURSOR;Vitamin A
US6426080;COSMETIC PREPARATION OF ACTIVE SUBSTANCES WITH HIGH PROTECTION FACTOR AGAINST FREE RADICALS;Vitamin A
US10206421;STABILIZING COMPOSITION FOR BIOLOGICAL MATERIALS;Vitamin A
US6436453;PRODUCTION OF OIL ENCAPSULATED MINERALS AND VITAMINS IN A GLASSY MATRIX;Vitamin A
US2009181076;DRUG RELEASE FROM NANOPARTICLE-COATED CAPSULES;Vitamin A
US5098718;ENZYMATICALLY DEGRADABLE COATING COMPOSITIONS FOR FEED ADDITIVES INTENDED FOR RUMINANTS;Vitamin A
US2014001662;METHOD FOR PREPARING STABLE-TYPE VITAMIN A MICROCAPSULES CONTINUOUSLY;Vitamin A
US2005202104;METHOD OF ENHANCEMENT OF COGNITIVE SKILLS;Vitamin A
US2007054919;PYRAZINYL SUBSTITUTED PIPERAZINE-PIPERIDINES WITH CXCR3 ANTAGONIST ACTIVITY;Vitamin A
US2009297569;ORAL HYGIENE TABLETS AND CAPSULES FOR DIRECT ORAL DELIVERY OF ACTIVE INGREDIENTS;Vitamin A
US2008014306;PRESERVING COMPOSITION AND PRODUCT FOR HARVESTING FRUITS AND VEGETABLES, AND METHOD FOR ITS USE;Vitamin A
US2016205969;SOLID DIETARY COMPOSITIONS FOR RUMINANTS AND METHODS OF MAKING AND USING THE SAME;Vitamin A
US5976568;MODULAR SYSTEM OF DIETARY SUPPLEMENT COMPOSITIONS FOR OPTIMIZING HEALTH BENEFITS AND METHODS;Vitamin A
US4230687;ENCAPSULATION OF ACTIVE AGENTS AS MICRODISPERSIONS IN HOMOGENEOUS NATURAL POLYMERIC MATRICES;Vitamin A
US2004096419;COSMETIC PREPARATION CONTAINING VITAMIN A;Vitamin A
US3663697;3 - METHYLQUINOXALINE - 2 - CARBOXAMIDE-1,4-DIOXIDES FOR THE CONTROL OF SALMONELLA CHOLERAESUIS INFECTIONS;Vitamin A
US5002780;MAGNESIUM SALT OF A FATTY ACID ACYL LACTYLATE;Vitamin A
US3445563;PROCESS OF PREPARING VITAMIN-CONTAINING GELLED AQUEOUS COLLOID BEADS;Vitamin A
US2016038530;NUTRITIONAL SUPPLEMENT TO COMPLEMENT CANCER THERAPY;Vitamin A
US4582708;ANIMAL FEED SUPPLEMENT;Vitamin A
US2002018772;SUPER ABSORPTION COENZYME Q10;Vitamin A
US2004224032;COMPOSITION COMPRISING MICRO-ENCAPSULATED IRON;Vitamin A
US2008161318;NOVEL COMPOSITIONS AND USES THEREOF;Vitamin A
US2018078598;DIETARY SUPPLEMENTS CONTAINING DEHYDRATED STRAWBERRY;Vitamin A
US2010291206;ORAL DOSAGE FORM;Vitamin A
US2937091;STABILIZED FAT-SOLUBLE VITAMIN AND METHOD OF MAKING SAME;Vitamin A
US2004009235;NANOMETER GRADE HYDROXYAPATITE COMPOSITION FOR REPLENISHING CALCIUM;Vitamin A
US5916591;SOFT GELATIN CAPSULES;Vitamin A
US3526682;MICROENCAPSULATION OF PHARMACEUTICALS;Vitamin A
US5426248;STABLE VITAMIN A;Vitamin A
US6007856;OIL-IN-WATER DISPERSIONS OF BETA -CAROTENE AND OTHER CAROTENOIDS STABLE AGAINST OXIDATION PREPARED FROM WATER-DISPERSIBLE BEADLETS HAVING HIGH CONCENTRATIONS OF CAROTENOID;Vitamin A
US2005249820;NUTRITIONAL SUPPLEMENT FOR THE TREATMENT AND PREVENTION OF MACULAR DEGENERATION;Vitamin A
US5759559;METHOD AND COMPOSITION FOR TREATING ACNE;Vitamin A
US2018368458;TIME RELEASE VITAMINS AND MINERALS IN EDIBLE OILS;Vitamin A
US3339558;SMOKING ARTICLE AND FILTER THEREFOR CONTAINING VITAMIN A;Vitamin A
US2018289625;CAPSULE WITH VOLUME-ADJUSTABLE INTERNAL DIAPHRAGM;Vitamin A
US2006057214;PROCESS FOR THE PRODUCITON OF CROSS-LINKED GELATIN BEADLETS;Vitamin A
US2002058088;COLOR STABLE IRON FORTIFIED COMPOSITIONS;Vitamin A
US6079418;Tobacco products with dry powdered vitamin E;Vitamin A
US2005214383;MULTI-VITAMIN AND MINERAL NUTRITIONAL SUPPLEMENTS;Vitamin A
US2006115555;NUTRITIONAL SUPPLEMENTS CONTAINING XANTHONE EXTRACTS;Vitamin A
US2013101569;HAIR GROWTH STIMULANT;Vitamin A
US5599556;PROLAMINE COATINGS FOR TASTE MASKING;Flavour
US2012202694;PRODUCTION OF ENCAPSULATED NANOPARTICLES AT COMMERCIAL SCALE;Flavour
US2008035569;WATER TREATMENT DEVICE AND METHOD THEREFOR;Flavour
US2009239945;ORAL COMPOSITION WITH AN ANTIAGEING EFFECT ON THE SKIN;Flavour
US2001051176;COMPOSITION COMPRISING A LIQUID ABSORBED ON A SUPPORT BASED ON PRECIPITATED SILICA;Flavour
US10188696;PHARMACEUTICAL COMPOSITIONS;Flavour
US3634582;PHARMACEUTICAL COMPOSITIONS;Flavour
US3262850;Methods for reducing cholesterol in the blood;Flavour
US2008175904;PARTICULATE COMPRISING A CALCIUM-CONTAINING COMPOUND AND A SUGAR ALCOHOL;Flavour
US2003035823;COMPOSITION COMPRISING A LIQUID ABSORBED ON A SUPPORT BASED ON PRECIPITATED SILICA;Flavour
US6086910;FOOD SUPPLEMENTS;Flavour
US3111708;CAPSULE MANUFACTURE;Flavour
US2005048164;COATED CHEWING GUM COMPRISING AN ACTIVE SUBSTANCE HAVING SYSTEMIC ACTIVITY;Flavour
US2018360070;FROZEN DESSERT BASED ON WHEY PROTEINS;Flavour
US3080292;STABLE PLEASANT-TASTING VITAMIN B CONTAINING BEADLETS;Flavour
US4230687;ENCAPSULATION OF ACTIVE AGENTS AS MICRODISPERSIONS IN HOMOGENEOUS NATURAL POLYMERIC MATRICES;Polymers
US3663697;3 - METHYLQUINOXALINE - 2 - CARBOXAMIDE-1,4-DIOXIDES FOR THE CONTROL OF SALMONELLA CHOLERAESUIS INFECTIONS;Vitamin D
US2018368458;TIME RELEASE VITAMINS AND MINERALS IN EDIBLE OILS;Vitamin D
US2015164816;FORTIFIED MICRONUTRIENT SALT FORMULATIONS;Vitamin D
US5780039;ORALLY-INGESTIBLE NUTRITION COMPOSITIONS HAVING IMPROVED PALATABILITY;Vitamin D
US2016220587;VITAMIN D COMPLEXES WITH DE-VDBP AND AN UNSATURATED FATTY ACID, AND THEIR USE IN THERAPY;Vitamin D
US3138532;WATER-DISPERSIBLE GELATIN COMPOSITIONS CONTAINING FAT-SOLUBLE VITAMIN-ACTIVE MATERIAL, AND PREPARATION OF DROPLETS AND BEADLETS;Vitamin D
US2008175904;PARTICULATE COMPRISING A CALCIUM-CONTAINING COMPOUND AND A SUGAR ALCOHOL;Vitamin D
US5759559;METHOD AND COMPOSITION FOR TREATING ACNE;Vitamin D
US2007054919;PYRAZINYL SUBSTITUTED PIPERAZINE-PIPERIDINES WITH CXCR3 ANTAGONIST ACTIVITY;Vitamin D
US4582708;ANIMAL FEED SUPPLEMENT;Vitamin D
US2008161318;NOVEL COMPOSITIONS AND USES THEREOF;Vitamin D
US2012015913;FORMULATIONS OF 14-EPI-ANALOGUES OF VITAMIN D;Vitamin D
US2017368049;COMPOSITE CAPSULES COMPRISING RALOXIFENE, AND VITAMIN D OR ITS DERIVATIVES;Vitamin D
US2002160060;ENRICHED SPREADS;Vitamin D
US4389419;Vitamin encapsulation;Vitamin D
US2006115555;NUTRITIONAL SUPPLEMENTS CONTAINING XANTHONE EXTRACTS;Vitamin D
US6596306;Drug delivery system:formulation for fat-soluble drugs;Vitamin D
US2015224150;PREPARATION AND METHOD FOR THE PROPHYLAXIS AND TREATMENT OF ATYPICAL OSTEOPOROSIS;Vitamin D
US2018078598;DIETARY SUPPLEMENTS CONTAINING DEHYDRATED STRAWBERRY;Vitamin D
US2008014306;PRESERVING COMPOSITION AND PRODUCT FOR HARVESTING FRUITS AND VEGETABLES, AND METHOD FOR ITS USE;Vitamin D
US2013149385;NANOFORMULATION OF VITAMIN D DERIVATIVES AND/OR VITAMIN D METABOLITES;Vitamin D
US5972985;HISTIDINE CONTAINING NUTRICEUTICAL COMPOSITIONS;Vitamin D
US2018000743;MODIFIED ALGINATE HYDROGELS FOR THERAPEUTIC AGENTS, THEIR PREPARATION AND METHODS THEREOF;Vitamin D
US3526682;MICROENCAPSULATION OF PHARMACEUTICALS;Vitamin D
US2014234406;NOVEL NANOPARTICULATE SUSPENSION FOR INCORPORATING FAT-SOLUBLE VITAMINS IN THE TREATMENT OF HAIR THINNING AND HAIR LOSS;Vitamin D
US5126328;PROCESS FOR CROSSLINKING GELATIN;Vitamin D
US2017056339;FORMULATION OF FAT-SOLUBLE VITAMIN;Vitamin D
US6642259;IMMUNE STIMULATING DIETARY SUPPLEMENT AND METHOD OF USE THEREOF;Vitamin D
US2013085121;PHARMACEUTICAL COMPOSITIONS COMPRISING PHOSPHATE BINDER, CALCIUM RECEPTOR-ACTIVE COMPOUND AND/OR ACTIVE VITAMIN D;Vitamin D
US2015174176;PREPARATION AND METHOD FOR THE PROPHYLAXIS AND TREATMENT OF OSTEOPOROSIS AND BONE FRACTURES;Vitamin D
US2650895;SPRAY DRIED VITAMIN A AND D EMULSION;Vitamin D
US2006292217;NUTRITIONAL SUPPLEMENT AND SOFT GELATIN CAPSULE DELIVERY SYSTEM;Vitamin D
US5310555;ORAL NUTRITIONAL AND DIETARY COMPOSITION;Vitamin D
US2002172721;VITAMIN FORMULATION FOR CARDIOVASCULAR HEALTH;Vitamin D
US2017290894;COMPOSITIONS AND METHODS FOR TREATING THYROID DISEASE;Vitamin D
US2011130370;PHARMACEUTICAL COMPOSITION COMPRISING A STRONTIUM SALT, VITAMIN D AND A CYCLODEXTRIN;Vitamin D
US5532002;GELATIN PHARMACEUTICAL FORMULATIONS;Vitamin D
US2018193483;DRUG FORMULATION BASED ON PARTICULATES COMPRISING POLYSACCHARIDE-VITAMIN CONJUGATE;Vitamin D
US2014348910;TOPICAL FORMULATIONS INCLUDING LIPID MICROCAPSULE DELIVERY VEHICLES AND THEIR USES;Vitamin D
US2014356424;COMPOSITION FOR TREATMENT OR REDUCTION OF SYMPTOMS RELATED TO PREMENSTRUAL SYNDROME (PMS), PREMENSTRUAL DISPHORIC DISORDER (PMDD), PREMENOPAUSE, MENOPAUSE OR FEMALE HORMONAL DISORDERS, IN A PHARMACEUTICAL COMPOSITION CONTAINING SAID FORM, AND PROCESS FOR PRODUCING SAID PHARMACEUTICAL FORM AND USE OF SAID COMPOSITION;Vitamin D
US2016279058;PROTEIN-BASED GEL DELIVERY SYSTEM;Vitamin D
US2004213857;MULTI-VITAMIN AND MINERAL SUPPLEMENT FOR PREGNANT WOMEN;Vitamin D
US2012052135;PHOSPHATE ADSORBENT;Vitamin D
US5141927;ANTIHYPERTENSIVE PREPARATION COMPRISING AN ALGINATE AND VITAMIN D;Vitamin D
US3574826;HYDROPHILIC POLYMERS HAVING VITAMINS ABSORBED THEREIN;Vitamin D
US5879698;CALCIUM DIETARY SUPPLEMENT;Vitamin D
US2009176748;METHODS AND COMPOSITIONS FOR CONTROLLED RELEASE ORAL DOSAGE OF A VITAMIN D COMPOUND;Vitamin D
US4670247;PROCESS FOR PREPARING FAT-SOLUBLE VITAMIN ACTIVE BEADLETS;Vitamin D
US5002779;DRY STABLE CHOCOLATE BEVERAGE CONTAINING IRON AND VITAMIN C;Vitamin D
US2016205969;SOLID DIETARY COMPOSITIONS FOR RUMINANTS AND METHODS OF MAKING AND USING THE SAME;Vitamin D
US2017056463;COMPOSITIONS AND METHODS FOR TREATING DIABETES;Vitamin D
US2004009235;NANOMETER GRADE HYDROXYAPATITE COMPOSITION FOR REPLENISHING CALCIUM;Vitamin D
US4164569;STABILIZED SOFT GELATIN CAPSULE COMPOSITION OF 1 {60 -HYDROXY-VITAMIN D;Vitamin D
US2010291206;ORAL DOSAGE FORM;Vitamin D
US2017348249;CALCIFEDIOL SOFT CAPSULES;Vitamin D
US2018207277;STABLE FAT-SOLUBLE ACTIVE INGREDIENT COMPOSITION, MICROCAPSULE AND PROCESS OF PREPARATION AND USE THEREOF;Vitamin D
US2011262553;COMPOSITIONS SUITABLE FOR TREATING CUTANEOUS SIGNS OF AGING;Algin
US2008089941;FUCOIDAN COMPOSITIONS AND METHODS;Lycopene
US2011008308;Composition for hair, skin, nails;Lycopene
US2001009926;MESOZEAXANTHIN FORMULATIONS FOR TREATMENT OF RETINAL DISORDERS;Lycopene
US2004116514;COMPOSITIONS FOR PREVENTING HUMAN CANCER AND METHOD OF PREVENTING HUMAN CANCER;Lycopene
US5648377;FORMULATIONS CONTAINING CAROTENOIDS AN PROCAROTENOIDS COMBINED WITH POLYPHENOLS IN THE PREVENTION OF THE DAMAGES DUE TO AN ABNORMAL PRODUCTION OF FREE RADICALS;Lycopene
US2014356424;COMPOSITION FOR TREATMENT OR REDUCTION OF SYMPTOMS RELATED TO PREMENSTRUAL SYNDROME (PMS), PREMENSTRUAL DISPHORIC DISORDER (PMDD), PREMENOPAUSE, MENOPAUSE OR FEMALE HORMONAL DISORDERS, IN A PHARMACEUTICAL COMPOSITION CONTAINING SAID FORM, AND PROCESS FOR PRODUCING SAID PHARMACEUTICAL FORM AND USE OF SAID COMPOSITION;Lycopene
US5180747;STABILIZED FAT-SOLUBLE VITAMIN COMPOSITIONS;Lycopene
US2005214383;MULTI-VITAMIN AND MINERAL NUTRITIONAL SUPPLEMENTS;Lycopene
US2018193483;DRUG FORMULATION BASED ON PARTICULATES COMPRISING POLYSACCHARIDE-VITAMIN CONJUGATE;Lycopene
US2002146400;COMPOSITION FOR REDUCING PLASMA TRIGLYCERIDES, PLATELET AGGREGATION, AND OXIDATIVE CAPACITY;Lycopene
US2008161318;NOVEL COMPOSITIONS AND USES THEREOF;Lycopene
US2018289625;CAPSULE WITH VOLUME-ADJUSTABLE INTERNAL DIAPHRAGM;Lycopene
US2010158984;Encapsulates;Lycopene
US6086910;FOOD SUPPLEMENTS;Lycopene
US10016363;PRE-SPRAY EMULSIONS AND POWDERS CONTAINING NON-POLAR COMPOUNDS;Lycopene
US2008160084;NATURAL WATER-INSOLUBLE ENCAPSULATION COMPOSITIONS AND PROCESSES FOR PREPARING SAME;Lycopene
US2002098253;ORAL COMPOSITIONS CONTAINING LOTUS;Lycopene
US2017056339;FORMULATION OF FAT-SOLUBLE VITAMIN;Lycopene
US2001019724;CAROTENOID FORMULATIONS, COMPRISING A MIXTURE OF BETA-CAROTENE, LYCOPENE AND LUTEIN;Lycopene
US2006115555;NUTRITIONAL SUPPLEMENTS CONTAINING XANTHONE EXTRACTS;Lycopene
US2011262553;COMPOSITIONS SUITABLE FOR TREATING CUTANEOUS SIGNS OF AGING;Lycopene
US2009239945;ORAL COMPOSITION WITH AN ANTIAGEING EFFECT ON THE SKIN;Lycopene
US10098849;ANTI-RADICAL AGENTS;Lycopene
US5976568;MODULAR SYSTEM OF DIETARY SUPPLEMENT COMPOSITIONS FOR OPTIMIZING HEALTH BENEFITS AND METHODS;Lycopene
US2018289625;CAPSULE WITH VOLUME-ADJUSTABLE INTERNAL DIAPHRAGM;Coenzyme Q10
US2002098172;COENZYME Q10 FORMULATION AND PROCESS METHODOLOGY FOR SOFT GEL CAPSULES MANUFACTURING;Coenzyme Q10
